ytid,ytid_seg,start,end,sentiment,happiness,sadness,anger,fear,disgust,surprise
-3g5yACwYnA,/home/emoman/Downloads/mosei/samples/-3g5yACwYnA_00.wav,82.753,100.555,1.0,0.6666667,0.6666667,0.0,0.0,0.0,0.6666667
-3g5yACwYnA,/home/emoman/Downloads/mosei/samples/-3g5yACwYnA_01.wav,119.919,125.299,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA,/home/emoman/Downloads/mosei/samples/-3g5yACwYnA_02.wav,4.84,14.052,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.33333334
-3g5yACwYnA,/home/emoman/Downloads/mosei/samples/-3g5yACwYnA_03.wav,13.211,27.521,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-3g5yACwYnA,/home/emoman/Downloads/mosei/samples/-3g5yACwYnA_04.wav,26.541,41.3,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA,/home/emoman/Downloads/mosei/samples/-3g5yACwYnA_05.wav,74.083,82.776,0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.33333334
-3nNcZdcdvU,/home/emoman/Downloads/mosei/samples/-3nNcZdcdvU_00.wav,0.0,9.213,0.33333334,1.6666666,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU,/home/emoman/Downloads/mosei/samples/-3nNcZdcdvU_01.wav,12.014,20.098,1.0,2.3333333,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU,/home/emoman/Downloads/mosei/samples/-3nNcZdcdvU_02.wav,36.399,44.173,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ,/home/emoman/Downloads/mosei/samples/-571d8cVauQ_00.wav,0.0,4.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ,/home/emoman/Downloads/mosei/samples/-571d8cVauQ_01.wav,21.842,28.309,-0.6666667,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-571d8cVauQ,/home/emoman/Downloads/mosei/samples/-571d8cVauQ_02.wav,69.893,85.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-6rXp3zJ3kc,/home/emoman/Downloads/mosei/samples/-6rXp3zJ3kc_00.wav,14.468,22.882,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0
